2020-04-16 15:04:57.334 INFO  com.microsoft.azure.management.appservice.WebApps getByResourceGroup <-- 404 Not Found https://management.chinacloudapi.cn/subscriptions/c06e76a4-c22b-456a-9026-cd0e802daad1/resourceGroups/free/providers/Microsoft.Web/sites/wise-basic-service?api-version=2019-08-01 (53 ms, 96-byte body)
2020-04-16 15:05:34.154 INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-16 15:05:55.311 INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.jackie.replace.ReplaceApplicationTests], using SpringBootContextLoader
2020-04-16 15:05:55.317 INFO  org.springframework.test.context.support.AbstractContextLoader Could not detect default resource locations for test class [com.jackie.replace.ReplaceApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-16 15:05:55.318 INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils Could not detect default configuration classes for test class [com.jackie.replace.ReplaceApplicationTests]: ReplaceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-16 15:05:55.430 INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper Found @SpringBootConfiguration com.jackie.replace.ReplaceApplication for test class com.jackie.replace.ReplaceApplicationTests
2020-04-16 15:05:55.560 INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-16 15:05:55.575 INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@48b67364, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@189cbd7c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7bf3a5d8, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@42e25b0b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@39b43d60, org.springframework.test.context.event.EventPublishingTestExecutionListener@44be0077, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2205a05d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@72ef8d15, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6aa8e115, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5e21e98f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@51a9ad5e]
2020-04-16 15:05:55.875 INFO  com.jackie.replace.ReplaceApplicationTests Starting ReplaceApplicationTests on DESKTOP-JQ1HOMA with PID 10228 (started by Administrator in E:\replace_azure_config)
2020-04-16 15:05:55.877 INFO  com.jackie.replace.ReplaceApplicationTests No active profile set, falling back to default profiles: default
